#,Name,Type,Division,Displacement Standard (tons),Displacement Full load (tons),Length (m),Beam (m),Draft (m),Speed (knots),Range,Autonomy (days),Propulsion,Armament,Electronics,Complement,Cargo,Passengers,Endurance (days),Special equipment,Capacity (tons),Capacity (c.m.),Destruction Date
,SMK-2171,Firefighting Boat,145th Resue Ship Squad,101,109.0,21.4,9.0,1.31,10.0,,3.0,2x380 hp diesels. 2 propeller-steering columns,,,8.0,,,,1 dive complex (1 pressure chamber) - 45 meters,,,2022-02-26
,OS-114,Trials Ship,58th Auxiliary Ship Group Feodosia,,753.0,51.45,8.42,3.22,11.5,,15.0,1x600 hp 6LH-30.50-3 diesel. 1 fixed pitch propeller in rotating nozzle. 2x50 kW diesel-generators,1x1 533 mm torpedo underwater tube 1x1 400 mm torpedo underwater tube,Don navigation radar,22.0,,,,,,,2022-03-01
,RB-365,Harbor Tug,205th Auxiliary Ship Squad,303,417.0,25.4,9.3,3.6,12.0,,,2x1015 hp KTA 38 M1 diesels. 2x84 kW diesel generators. 2 rudder propellers,,,8.0,,,,2x300 m3/h fire monitors,,,2022-03-02
,RK-314,Harbor Boat,61th Auxiliary Ship Group Novorossiysk,,,,,,,,,,,,,,,,,,,2022-03-02
835.0,P-835,Anti-saboteur Boat,68th Coastal Defense Ship Brigade ,,20.0,15.9,3.8,0.9,50.0,,1.0,2x1100 hp MAN2842LE410 diesels. 2 pump-jets,,,,,,,,,,2022-03-07
,MUS-586,Oil Skimmer,205th Auxiliary Ship Squad,24.7,39.12,20.7,4.68,1.54,3.3,,3.0,1x115 hp K171-M diesel. 1 rudder propeller,,,2.0,,,,,,15.0,2022-03-11
,PD-30,Floating Dock,13th Ship Repair Plant,,53645.0,248,50.0,4.7,,,,,,,,,,,,29300,,2022-03-12
626.0,Orekhovo-Zuyevo,Missile Corvette,41th Missile Boat Brigade,,949.0,74.1,11.0,2.6,25.0,,10.0,4x3944 hp CHD622V20 diesels. 2 pump-jets,1x8 3S14-21631 UKSK 3K14 launchers (Kalibr guided missile complex (8 3M14T missiles)) – 3R14N fire control system 2x6 3M-47 Gibka SAM system launchers (Igla-1M missiles) 1x1 100 mm A-190-01 – 5P-10-03 Laska fire control system 1x12 30 mm AK-630M-2 Duet 2x1 14.5 mm MTPU-1 Zhalo,5P-26 Pozitiv» air/surface search radar. MR-231 navigation radar. MG-757 Anapa-M anti-saboteur sonar PK-10 Smely RL decoy (2 KT-216 launchers),52.0,,,,,,,2022-03-15
150.0,Saratov,Large Landing Ship,,2885,4946.0,113.1,15.6,3.655,17.3,,15.0,2x4500 hp 58A diesels2 fixed pitch propellers. 2x300 kW DGR-300/500-1 diesel generators. 1 DGR-100/750 diesel generator,1x2 57 mm ZIF-31B – 1200 rounds 3x4 MTU-4S launchers 9K34 Strela-3 SAM system launchers – 24 9M36 missiles (on Petr Ilyichev - 16 missiles),2 Don navigation radars. Khrom-KM IFF. MG-7 Braslet anti-saboteur sonar,,20 main battle tanks and 313 troops or 47 BTR and 313 troops or 52 army trucks and 313 troops,,,,,,2022-03-24
,BKSch-28,Target Barge,280th Target Ship Station,,,,,,,,,,,,,,,,,,,2022-03-27
